,Brand Name,Product Link,Image Url,Product Name,Product_info,Description,Item NO,Price
40,Kerr®  TotalCare,product_bybrand_thumb.asp?mfgd=Kerr®++TotalCare,N/A,N/A,Mani Carbide Bur FG # 57 (Pkg. of 10) ,Mfg. Part #: FG57 (10),,E-mail addresses will be kept confidential.
41,Kulzer,product_bybrand_thumb.asp?mfgd=Kulzer,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Kulzer,"Spatula for Alginate & Plaster 8 x 230mm, Each",Mfg. Part #: 208,,E-mail addresses will be kept confidential.
42,Kuraray®,product_bybrand_thumb.asp?mfgd=Kuraray®,N/A,N/A,"SafeBasics Headrest Cover 10"" x 10"" (White) Case of 500",Mfg. Part #: 3014,,E-mail addresses will be kept confidential.
43,L&R,product_bybrand_thumb.asp?mfgd=L%26R,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", L&R,"Meigrit Z4 #HM80-085, Each",Mfg. Part #: HM80Z4-085,,E-mail addresses will be kept confidential.
44,Look,product_bybrand_thumb.asp?mfgd=Look,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Look,"Meigrit Z4 #HM80-085, Each",Mfg. Part #: HM80Z4-085,,E-mail addresses will be kept confidential.
45,Mani,product_bybrand_thumb.asp?mfgd=Mani,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Mani,UltraBrush 1.0 Dispenser Kit Blue (100),Mfg. Part #: U1D,,E-mail addresses will be kept confidential.
46,Medesy,product_bybrand_thumb.asp?mfgd=Medesy,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Medesy,Bite Check Articulation Double Sided Black 19 Micron,Mfg. Part #: BC-BLACK,,E-mail addresses will be kept confidential.
47,Medicom,product_bybrand_thumb.asp?mfgd=Medicom,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Medicom,Colortouch Pink Powder-Free Latex Gloves X-Small Pkg of 100,Mfg. Part #: CTP-233-XS,,E-mail addresses will be kept confidential.
48,Meisinger,product_bybrand_thumb.asp?mfgd=Meisinger,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Meisinger,"Buy 5 Boxes of CaineTips, Get 1 FREE!
","To receive your free gift or promotional offer, fax a copy of your dealer invoice dated July 1, 2020 through September 30, 2020 by October 15, 2020, to J. MORITA USA at (949) 465-1009 Attn: Q3 Promotions, or email to: promotions@jmoritausa.com. J. MORITA USA reserves the right to change or cancel these promotions at any time. Students not eligible for quarterly specials and discounts",,E-mail addresses will be kept confidential.
49,Meisinger,product_bybrand_thumb.asp?mfgd=Meisinger,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Meisinger,Barrier Film Non-Stick Edge Clear (12),Mfg. Part #: BF-1500,,E-mail addresses will be kept confidential.
50,Microbrush,product_bybrand_thumb.asp?mfgd=Microbrush,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Microbrush,Amalgam Carrier AC-1 Jumbo/Reg (Each) ,Mfg. Part #: AC1,,E-mail addresses will be kept confidential.
51,Microcopy,product_bybrand_thumb.asp?mfgd=Microcopy,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Microcopy,"TopGel Topical Anesthetic, Cherry 1oz Jar ",Mfg. Part #: TG-203,,E-mail addresses will be kept confidential.
52,Microflex,product_bybrand_thumb.asp?mfgd=Microflex,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Microflex,Brown Plastic Alcohol Dispenser (Menda),Mfg. Part #: 35601,N/A,E-mail addresses will be kept confidential.
53,Morita,product_bybrand_thumb.asp?mfgd=Morita,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Morita,Aspirating Anesthetic Syringe Small,Mfg. Part #: T234,N/A,E-mail addresses will be kept confidential.
54,Mydent,product_bybrand_thumb.asp?mfgd=Mydent,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Mydent,"Hedgehog Bur, Flat End Cylinder, Each",Mfg. Part #: S497,A510008,E-mail addresses will be kept confidential.
55,Nordent,product_bybrand_thumb.asp?mfgd=Nordent,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Nordent,Buy 3 Occlude Indicator Spray 23g (mix and match) and get one free,"Offer valid from 07/01/2020 to 09/30/2020. Qualifying purchase must be on same invoice. Not valid with any other offer. Valid in USA only. To receive free goods, please mail to: Pascal International PO Box 1478 Bellevue WA 98009-1478; fax to 425-827-2120 or email to: olgad@pascaldental.com",N/A,E-mail addresses will be kept confidential.
56,Pacdent,product_bybrand_thumb.asp?mfgd=Pacdent,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Pacdent,Correct VPS Tray Adhesive (2oz.),Mfg. Part #: Q12A,A510012,E-mail addresses will be kept confidential.
57,Palmero Health,product_bybrand_thumb.asp?mfgd=Palmero+Health,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Palmero Health,"Altra Rap Clear 4"" x 6"" Sheets Roll of 1200 ",Mfg. Part #: PS1250C,N/A,E-mail addresses will be kept confidential.
58,Paradise Dental,product_bybrand_thumb.asp?mfgd=Paradise+Dental,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Paradise Dental,Breathing Bag Gray(3Liter)*Non-Latex*,Mfg. Part #: 4100-3NL,N/A,E-mail addresses will be kept confidential.
59,Parkell,product_bybrand_thumb.asp?mfgd=Parkell,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Parkell,NeverClog Amalgam Gun (Right Angle),Mfg. Part #: 9062006,A942769,E-mail addresses will be kept confidential.
60,Pascal,product_bybrand_thumb.asp?mfgd=Pascal,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Pascal,"Purchase 4 boxes (200), receive 1 box (200) free. Includes Nada Pumice Paste. Mixing flavors and grits is allowable","Preventech redeems free goods. All goods must be purchased on a single invoice. Offices must mail or fax a copy of their dental dealer invoice to Preventech, 4330-C Matthews-Indian Trail Road, Indian Trail, NC 28079, fax to 704-849-2417 or email to customerservice@preventech.com ",N/A,E-mail addresses will be kept confidential.
61,Pearson,/catalog/pearson_brand_list.asp,N/A,N/A,Glide Pro-Health Advance Floss 16.4 yards Pkg of 12,"Buy 2, Get 1 FREE. Net Price: $26.00",A942955,E-mail addresses will be kept confidential.
62,Pentron,product_bybrand_thumb.asp?mfgd=Pentron,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Pentron,Alliant Dual Cart,Mfg. Part #: A6630,N/A,E-mail addresses will be kept confidential.
63,Plasdent,product_bybrand_thumb.asp?mfgd=Plasdent,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Plasdent,"Beehive Cotton Pellet Dispenser, Each",Buy 2 Get 1 FREE! Net Price: $13.30,A942957,E-mail addresses will be kept confidential.
64,Porter,product_bybrand_thumb.asp?mfgd=Porter,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Porter,Model CM6-050 (Post Mount) Telescoping Vacuum Arm ,Mfg. Part #: CM6-050,N/A,E-mail addresses will be kept confidential.
65,Premier,product_bybrand_thumb.asp?mfgd=Premier,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Premier,"To Dye For Box of 25, Blue",Mfg. Part #: 760,A943149,E-mail addresses will be kept confidential.
66,Preventech,product_bybrand_thumb.asp?mfgd=Preventech,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Preventech,Scratch Cleaning Brush,Mfg. Part #: 26040,N/A,E-mail addresses will be kept confidential.
67,Procter & Gamble,product_bybrand_thumb.asp?mfgd=Procter+%26+Gamble,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Procter & Gamble,"AIR-N-GO Classic Powder Natural,Pkg of 4x250g Bottle",Mfg. Part #: F10254,A943274,E-mail addresses will be kept confidential.
68,Proma,product_bybrand_thumb.asp?mfgd=Proma,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Proma,Bravo 17 Pre/Post Vacuum Sterilizer,"Overall size: 22""L x 19""W x 16.5"" H Chamber size: 10""D x 13.5""",N/A,E-mail addresses will be kept confidential.
69,Pulpdent® ,product_bybrand_thumb.asp?mfgd=Pulpdent®+,N/A,N/A,Alloybond Kit,"Contains: 1-5ml Alloybond Primer; 1-5ml Alloybond Base; 1-5ml Alloybond Catalyst; 1-2ml Syringe Super Etch; Brushes, Handles, Mixing Pad; and 25-Super Etch Disposable Tips.

",A944035,E-mail addresses will be kept confidential.
70,Richmond Dental,product_bybrand_thumb.asp?mfgd=Richmond+Dental,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Richmond Dental,BeautiBond Kit,"Contains: 50 - 0.1ml Unit Dose, 50 Microbrush Fine",N/A,E-mail addresses will be kept confidential.
71,Royal,product_bybrand_thumb.asp?mfgd=Royal,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Royal,Artic. Paper Forceps Straight Grooved (J & J Instruments),Mfg. Part #: 08-305,N/A,E-mail addresses will be kept confidential.
72,Roydent,product_bybrand_thumb.asp?mfgd=Roydent,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Roydent,Nouveau Finishing Burs #EF9UF Pkg of 5,Mfg. Part #: 249569,P880458,E-mail addresses will be kept confidential.
73,S.S. White Burs,product_bybrand_thumb.asp?mfgd=S.S.+White+Burs,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", S.S. White Burs,Sterisil BioFree Bottle 2.0L,Mfg. Part #: BF-B2L,,E-mail addresses will be kept confidential.
74,Satelec,product_bybrand_thumb.asp?mfgd=Satelec,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Satelec,"Buy 4 (8-pk) of Silgimix Alginate Replacement Impression Material, Get 1 FREE!  Promo Code RN017","TO REDEEM SULTAN HC FREE GOODS: Purchase must be made from 7/1/2020 through 9/30/2020. Purchase must be made on ONE invoice. Invoices must be received no later than 30 days (10/31/2020) after purchase to claim free goods. To receive your free goods, email the dealer invoice to: freegoods@sultanhc.com. Incomplete submissions will not be processed. Limit 5 redemptions of each oer per oce. Oers valid in the United States only. Oers may not be combined with any other Dentsply Sirona oers, contrats or formulary agreements. All free goods fulfilled through Dentsply Sirona. Allow 4-6 weeks for delivery. HI and AK may not be eligible for free goods due to shipping restrictions.",,E-mail addresses will be kept confidential.
75,Sci-Can,product_bybrand_thumb.asp?mfgd=Sci-Can,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Sci,La Axxess Bur Kit ,Mfg. Part #: 815-1400,,E-mail addresses will be kept confidential.
76,SDI,product_bybrand_thumb.asp?mfgd=SDI,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", SDI,"Chair Cover Sleeve, 27"" x 24"" (225)",Mfg. Part #: 915001,,E-mail addresses will be kept confidential.
77,Septodont® ,product_bybrand_thumb.asp?mfgd=Septodont®+,N/A,N/A,"BUY 3 5ml Bottle Refills, GET 1 5ml Bottle Refill at NO CHARGE
BUY 3 Pen Twin-Pack Refills, GET 1 Pen Twin-Pack Refill at NO CHARGE
BUY 3 Pen Twin-Pack Refills, GET 1 5ml Bottle Refill at NO CHARGE","To receive your bonus product(s), please submit your claim through the following web-form https://www.tokuyama-us.com/redemptions, or fax an invoice to +1 (760) 942-7212, or email to info@tokuyama-us.com. If the invoice is submitted by the dealer, please submit only via fax or email. Please use the PROMO CODE U320 to redeem the promotion(s). Qualifying orders must be dated 7/1/20  9/30/20 and received no later than 10/21/20. For composite promotions, please indicate which shade you would like to receive for bonus product(s), otherwise A2 will be sent as default. Tokuyama reserves the right to discontinue the promotion(s) at any time. Cannot be combined with any other offer. Please allow 2-4 weeks for delivery of bonus products.",,E-mail addresses will be kept confidential.
78,Shofu,product_bybrand_thumb.asp?mfgd=Shofu,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Shofu,Earloop Procedural Masks Blue (Box of 50) ,Mfg. Part #: 5330E-SB,,E-mail addresses will be kept confidential.
79,Sobytek,product_bybrand_thumb.asp?mfgd=Sobytek,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Sobytek,Aspirating Syringe Cook-Waite Style,Mfg. Part #: 107002,,E-mail addresses will be kept confidential.
80,Star Dental,product_bybrand_thumb.asp?mfgd=Star+Dental,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Star Dental,Virtual Tray Adhesive (10ml),Mfg. Part #: 562841AN,,E-mail addresses will be kept confidential.
81,Sterisil,product_bybrand_thumb.asp?mfgd=Sterisil,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Sterisil,Waterpik Hold® Spray-On Adhesive 2.7oz can,Mfg. Part #: 11461,,E-mail addresses will be kept confidential.
82,Sultan Healthcare,product_bybrand_thumb.asp?mfgd=Sultan+Healthcare,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Sultan Healthcare,"Handpiece Sleeves 1.25"" x 8"" for High Speed Pkg of 500",Mfg. Part #: 8792,N/A,E-mail addresses will be kept confidential.
83,Sunstar®,product_bybrand_thumb.asp?mfgd=Sunstar®,N/A,N/A,"Nyclave EZ-Guard 6"" x 8"" Roll of 1500",Mfg. Part #: 118015,,E-mail addresses will be kept confidential.
84,SybronEndo,product_bybrand_thumb.asp?mfgd=SybronEndo,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", SybronEndo,Hydrogum Alginate F/S (1.1 lb.) ,Mfg. Part #: C302025,,E-mail addresses will be kept confidential.
85,Tidi,product_bybrand_thumb.asp?mfgd=Tidi,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Tidi,Needle Capper Each,Mfg. Part #: 27R700,,E-mail addresses will be kept confidential.
86,Tokuyama,product_bybrand_thumb.asp?mfgd=Tokuyama,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Tokuyama,Pearson Carbide Bur FG #1/4 (10),Mfg. Part #: FG1/4,N/A,E-mail addresses will be kept confidential.
87,Valumax,product_bybrand_thumb.asp?mfgd=Valumax,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Valumax,Calset Compule Heater ,Mfg. Part #: 110007,N/A,E-mail addresses will be kept confidential.
88,Vista,product_bybrand_thumb.asp?mfgd=Vista,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Vista,"Hydraulic Kit, Standard","Contains: 4 Hydraulic Tips, 1 Hydraluc Extension",B180072,E-mail addresses will be kept confidential.
89,Vivadent,product_bybrand_thumb.asp?mfgd=Vivadent,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Vivadent,Temptabs (Pkg of 72),Mfg. Part #: 143020,N/A,E-mail addresses will be kept confidential.
90,Waterpik,product_bybrand_thumb.asp?mfgd=Waterpik,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Waterpik,24 Hold Wire Holder w/o Cover ,Mfg. Part #: 700-004,N/A,E-mail addresses will be kept confidential.
91,Winner,product_bybrand_thumb.asp?mfgd=Winner,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Winner,"Madame Butterfly Blue 3/8"" Pkg. of 18 yards",Mfg. Part #: 72001,B340140,E-mail addresses will be kept confidential.
92,Young Dental,product_bybrand_thumb.asp?mfgd=Young+Dental,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Young Dental,Aluwax Denture Bite & Impression Wax Box of 28 Shets,"Excellent for bite checks.  2 3/4"" x 5 3/4""",N/A,E-mail addresses will be kept confidential.
93,Zhermack,product_bybrand_thumb.asp?mfgd=Zhermack,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Zhermack,Micro Red Kit ,"Includes: 1/2oz. Spacer, 1/2oz. Thinner.",N/A,E-mail addresses will be kept confidential.
94,Zirc,product_bybrand_thumb.asp?mfgd=Zirc,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", Zirc,Safe Relax Evolution Kit w/ 4 Hooks and 3 Wires,Mfg. Part #: 6961C,B390504,E-mail addresses will be kept confidential.
95,AD Burs,product_bybrand_thumb.asp?mfgd=AD+Burs,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", AD Burs,D-2000 LED Curing Light Unit,"Contains: Stand with digital meter, 5 watt LED, 8mm light guide, handpiece with charging function, 1 pc Li-ion battery & 5V switching power adaptor",N/A,E-mail addresses will be kept confidential.
96,AdDent Inc.,product_bybrand_thumb.asp?mfgd=AdDent+Inc.,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", AdDent Inc.,"Gauze Pads. Sterile. 3""x3"".  12 ply Pkg of 100",Mfg. Part #: GZE-S3,N/A,E-mail addresses will be kept confidential.
97,ADLBio,product_bybrand_thumb.asp?mfgd=ADLBio,"https://www.facebook.com/tr?id=336284690205863&ev=PageView
&noscript=1", ADLBio,"Cosmetic Case 3"" Diameter (12)",Mfg. Part #: 827,B830060,E-mail addresses will be kept confidential.
